ano,sigla_uf,id_municipio,id_escola,rede,tipo_localizacao,tipo_situacao_funcionamento,agua_potavel,energia_rede_publica,esgoto_rede_publica,biblioteca,sala_leitura,laboratorio_informatica,internet,internet_alunos,desktop_aluno,computador_portatil_aluno,tablet_aluno,quantidade_sala_utilizada,sala_atendimento_especial
2024,RN,2404507,24074080,1,2,2,,,,,,,,,,,,,
2024,RN,2404507,24074098,1,2,2,,,,,,,,,,,,,
2024,RN,2404507,24074144,1,2,2,,,,,,,,,,,,,
2024,RJ,3304557,33087512,1,1,2,,,,,,,,,,,,,
2024,SP,3520442,35007895,1,1,2,,,,,,,,,,,,,
2024,RJ,3304557,33152918,1,1,2,,,,,,,,,,,,,
2024,RJ,3300704,33159173,1,1,2,,,,,,,,,,,,,
2024,SP,3509502,35924908,1,1,2,,,,,,,,,,,,,
2024,PR,4118501,41093321,1,1,2,,,,,,,,,,,,,
2024,SP,3555000,35007981,1,1,2,,,,,,,,,,,,,
2024,SP,3523107,35007980,1,1,2,,,,,,,,,,,,,
2024,SP,3521200,35007979,1,1,2,,,,,,,,,,,,,
2024,RJ,3301009,33180792,1,1,2,,,,,,,,,,,,,
2024,RJ,3304557,33062528,1,1,2,,,,,,,,,,,,,
2024,RJ,3302007,33158622,1,1,2,,,,,,,,,,,,,
2024,RJ,3304557,33137390,1,1,2,,,,,,,,,,,,,
2024,MS,5003306,50082841,1,1,1,1,1,0,1,0,1,1,1,1,0,0,21,0
2024,ES,3204559,32081340,1,2,1,1,1,0,1,1,1,1,1,1,0,0,13,1
2024,ES,3204609,32033486,1,2,1,1,1,0,1,1,1,1,1,1,1,1,35,1
2024,RN,2408102,24091405,1,1,1,1,1,1,1,0,1,1,1,1,0,0,29,1
2024,ES,3203205,32102070,1,1,1,1,1,1,1,0,1,1,1,1,0,0,16,0
2024,ES,3205101,32081804,1,1,1,1,1,1,1,0,1,1,1,1,0,0,8,0
2024,ES,3201209,32079583,1,2,1,1,1,0,1,1,1,1,1,1,0,0,16,1
2024,AL,2705507,27047733,1,1,1,1,1,1,1,0,1,1,1,1,0,0,11,0
2024,RN,2408102,24064670,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,0
2024,MS,5003702,50033115,1,1,1,1,1,0,1,0,1,1,1,1,1,1,12,1
2024,ES,3200201,32046219,1,1,1,1,1,0,1,0,1,1,1,1,1,0,40,1
2024,TO,1707009,17055059,1,2,1,1,1,0,1,1,1,1,1,1,0,1,8,1
2024,RN,2407104,24052787,1,2,1,1,1,1,1,0,1,1,1,1,0,0,38,0
2024,MS,5008305,50082868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1
2024,ES,3205002,32075979,1,1,1,1,1,1,1,0,1,1,1,1,0,0,21,1
2024,PI,2207702,22129375,1,1,1,1,1,1,1,0,1,1,1,1,0,1,15,0
2024,GO,5211503,52202372,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,0
2024,AC,1200609,12032441,1,1,1,1,1,0,1,1,1,1,1,1,1,0,10,1
2024,AM,1301902,13101145,1,2,1,1,1,0,1,0,1,1,1,1,0,0,10,1
2024,AM,1302603,13029916,1,1,1,1,1,1,1,1,1,1,1,1,0,0,45,0
2024,PI,2211001,22129553,1,1,1,1,1,1,1,1,1,1,1,1,0,0,59,1
2024,MS,5005707,50033212,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,0
2024,AM,1301704,13101137,1,2,1,1,1,0,1,0,1,1,1,1,0,0,9,1
2024,AL,2704302,27320014,1,1,1,1,1,1,1,1,1,1,0,1,0,0,24,0
2024,RN,2408102,24059110,1,1,1,1,1,1,1,1,1,1,1,1,1,0,123,1
2024,SE,2804508,28034112,1,2,1,1,1,0,1,1,1,1,1,0,0,0,7,0
2024,SE,2805703,28038053,1,1,1,1,1,1,0,0,1,1,0,1,0,0,4,0
2024,ES,3205200,32078498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1
2024,CE,2313104,23245123,1,1,1,1,1,0,1,1,1,1,1,1,1,0,15,0
2024,RN,2408102,24088510,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2024,MT,5102504,51045168,1,2,1,1,1,0,1,1,1,1,1,1,0,0,22,0
2024,DF,5300108,53016645,1,1,1,1,1,1,1,0,1,1,1,1,1,1,13,1
2024,DF,5300108,53016653,1,1,1,1,1,1,1,1,1,1,1,1,0,0,15,1
2024,ES,3205309,32077963,1,1,1,1,1,0,1,0,0,1,1,1,0,0,5,0
2024,RN,2409407,24328308,1,1,1,1,1,0,1,1,1,1,1,1,0,0,26,0
2024,CE,2313609,23245115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0
2024,PB,2511202,25130560,1,1,1,1,1,1,0,0,1,1,1,1,0,0,6,0
2024,PI,2202208,22142266,1,1,1,1,1,0,1,1,1,1,1,1,0,0,10,0
2024,CE,2305100,23259477,1,1,1,1,1,0,1,1,1,1,1,1,0,0,8,0
2024,CE,2305233,23265329,1,1,1,1,1,0,1,1,1,1,1,1,1,0,20,0
2024,AP,1600279,16007123,1,1,1,1,1,0,1,1,1,1,1,1,1,1,13,1
2024,AL,2708600,27047601,1,1,1,1,1,1,1,0,1,1,1,1,1,1,13,0
2024,RN,2411205,24327301,1,1,1,1,1,1,1,1,1,1,1,1,0,0,25,0
2024,GO,5205109,52100880,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,0
2024,CE,2304103,23564229,1,1,1,1,1,0,1,1,1,1,1,1,0,0,26,1
2024,CE,2307700,23272945,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,0
2024,MS,5003207,50082833,1,1,1,1,1,1,1,0,1,1,1,1,1,0,20,1
2024,AP,1600303,16007310,1,1,1,1,1,0,1,1,1,1,1,1,0,1,37,1
2024,PI,2211001,22129405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0
2024,AM,1301209,13116401,1,1,1,1,1,0,1,0,1,1,1,1,1,0,15,0
2024,MT,5102637,51174804,1,2,1,1,1,0,1,1,1,1,1,1,1,0,32,1
2024,AL,2704302,27051757,1,1,1,1,1,1,1,0,1,1,1,1,1,0,7,0
2024,AL,2704708,27219640,1,1,1,1,1,1,1,0,1,1,1,1,1,0,15,1
2024,PB,2507507,25128582,1,1,1,1,1,1,1,0,0,1,0,0,0,0,11,0
2024,SE,2802908,28034228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
2024,DF,5300108,53006178,1,2,1,1,1,1,1,1,1,1,1,1,1,0,31,1
2024,RN,2406700,24086622,1,1,1,1,1,1,1,0,1,1,1,1,0,0,12,1
2024,AC,1200401,12030961,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23,0
2024,RO,1100114,11050322,1,1,1,1,1,0,1,0,1,1,1,1,1,0,12,0
2024,TO,1716505,17055377,1,1,1,1,1,1,1,0,1,1,1,1,0,0,8,0
2024,GO,5208707,52099393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1
2024,DF,5300108,53015401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
2024,RN,2402006,24329312,1,1,1,1,1,0,1,1,1,1,1,1,0,0,17,1
2024,GO,5211909,52053245,1,1,1,1,1,1,1,1,1,1,1,1,1,0,18,0
2024,AM,1301407,13101153,1,1,1,1,1,0,1,0,1,1,1,1,0,1,14,0
2024,RN,2408003,24069485,1,1,1,1,1,0,1,1,1,1,1,1,0,0,57,1
2024,AM,1301852,13106619,1,2,1,1,1,0,1,0,1,1,1,1,0,1,5,0
