cd_referencia,nu_ano,nu_rede,ds_rede,pc_taxa_alfabetizacao,pc_taxa_alfabetizacao_ano_anterior,vl_variacao_yoy,fl_evolucao_positiva,id_evolucao,ts_insercao,ds_nivel_geografico
1100056,2023,5,Pública,58.53,,,,7021646752010378473,2026-08-20 01:27:09,MUNICIPIO
1100056,2024,5,Pública,66.81,58.53,8.28,true,4884896113132800037,2026-08-20 01:27:09,MUNICIPIO
1100122,2023,5,Pública,70.52,,,,5448555488923081650,2026-08-20 01:27:09,MUNICIPIO
1100122,2024,5,Pública,66.41,70.52,-4.11,false,7493871780298134654,2026-08-20 01:27:09,MUNICIPIO
1100262,2023,3,Municipal,83.84,,,,7420998888075907699,2026-08-20 01:27:09,MUNICIPIO
1100262,2024,3,Municipal,62.81,83.84,-21.03,false,-2213217253059838072,2026-08-20 01:27:09,MUNICIPIO
1100288,2023,3,Municipal,68.81,,,,-1895440248428205675,2026-08-20 01:27:09,MUNICIPIO
1100288,2024,3,Municipal,75.19,68.81,6.38,true,-7928691704315733432,2026-08-20 01:27:09,MUNICIPIO
1101401,2023,5,Pública,72.19,,,,7365346079063137746,2026-08-20 01:27:09,MUNICIPIO
1101401,2024,5,Pública,69.92,72.19,-2.27,false,4518848637725824377,2026-08-20 01:27:09,MUNICIPIO
1101609,2023,5,Pública,50.7,,,,-8193264124817239109,2026-08-20 01:27:09,MUNICIPIO
1101609,2024,5,Pública,78.73,50.7,28.03,true,3090470414546351131,2026-08-20 01:27:09,MUNICIPIO
1300904,2023,5,Pública,56.29,,,,551526529394298073,2026-08-20 01:27:09,MUNICIPIO
1300904,2024,5,Pública,75.82,56.29,19.53,true,8982093229786875077,2026-08-20 01:27:09,MUNICIPIO
1303957,2023,5,Pública,51.53,,,,-4058844809169770504,2026-08-20 01:27:09,MUNICIPIO
1303957,2024,5,Pública,44.12,51.53,-7.41,false,4459074423590027824,2026-08-20 01:27:09,MUNICIPIO
1304203,2023,2,Estadual,60.83,,,,1093153989064614926,2026-08-20 01:27:09,MUNICIPIO
1304203,2024,2,Estadual,57.3,60.83,-3.53,false,4819417928531843360,2026-08-20 01:27:09,MUNICIPIO
1500503,2023,5,Pública,30.68,,,,966457541898817751,2026-08-20 01:27:09,MUNICIPIO
1500503,2024,5,Pública,38.92,30.68,8.24,true,6383955040306041636,2026-08-20 01:27:09,MUNICIPIO
1502004,2023,2,Estadual,89.89,,,,-4075278452726598481,2026-08-20 01:27:09,MUNICIPIO
1502004,2024,2,Estadual,60.0,89.89,-29.89,false,3769098970129097005,2026-08-20 01:27:09,MUNICIPIO
1502202,2023,2,Estadual,39.15,,,,4529367081235522697,2026-08-20 01:27:09,MUNICIPIO
1502202,2024,2,Estadual,53.57,39.15,14.42,true,-6326603683268991443,2026-08-20 01:27:09,MUNICIPIO
1502707,2023,5,Pública,38.75,,,,-9072162868810900334,2026-08-20 01:27:09,MUNICIPIO
1502707,2024,5,Pública,50.76,38.75,12.01,true,-1696332566282076385,2026-08-20 01:27:09,MUNICIPIO
1503077,2023,3,Municipal,37.96,,,,8821040758524952630,2026-08-20 01:27:09,MUNICIPIO
1503077,2024,3,Municipal,32.89,37.96,-5.07,false,-6838469551399433832,2026-08-20 01:27:09,MUNICIPIO
1503093,2023,3,Municipal,46.05,,,,28108352923963984,2026-08-20 01:27:09,MUNICIPIO
1503093,2024,3,Municipal,42.29,46.05,-3.76,false,218725744606674332,2026-08-20 01:27:09,MUNICIPIO
1503457,2023,5,Pública,39.7,,,,8957656368509822771,2026-08-20 01:27:09,MUNICIPIO
1503457,2024,5,Pública,42.95,39.7,3.25,true,8198012074326287055,2026-08-20 01:27:09,MUNICIPIO
1504950,2023,3,Municipal,35.64,,,,2560369853686703552,2026-08-20 01:27:09,MUNICIPIO
1504950,2024,3,Municipal,50.02,35.64,14.38,true,612460018655740809,2026-08-20 01:27:09,MUNICIPIO
1505486,2023,5,Pública,37.32,,,,7447335821977317108,2026-08-20 01:27:09,MUNICIPIO
1505486,2024,5,Pública,45.49,37.32,8.17,true,-2760994538685465890,2026-08-20 01:27:09,MUNICIPIO
1506500,2023,5,Pública,40.8,,,,-7202453295283154832,2026-08-20 01:27:09,MUNICIPIO
1506500,2024,5,Pública,34.18,40.8,-6.62,false,8686825493387113516,2026-08-20 01:27:09,MUNICIPIO
1506583,2023,3,Municipal,53.64,,,,7831497279020158179,2026-08-20 01:27:09,MUNICIPIO
1506583,2024,3,Municipal,42.45,53.64,-11.19,false,-7062778603878215758,2026-08-20 01:27:09,MUNICIPIO
1507102,2023,5,Pública,33.37,,,,-6772253311051198275,2026-08-20 01:27:09,MUNICIPIO
1507102,2024,5,Pública,69.85,33.37,36.48,true,-5666939384810793313,2026-08-20 01:27:09,MUNICIPIO
1507607,2023,5,Pública,38.69,,,,933236277971948554,2026-08-20 01:27:09,MUNICIPIO
1507607,2024,5,Pública,49.59,38.69,10.9,true,2901957049980555003,2026-08-20 01:27:09,MUNICIPIO
1507706,2023,5,Pública,48.08,,,,-8645312150611975780,2026-08-20 01:27:09,MUNICIPIO
1507706,2024,5,Pública,47.41,48.08,-0.67,false,4830927658217430159,2026-08-20 01:27:09,MUNICIPIO
1508308,2023,5,Pública,34.28,,,,-9149635896040005701,2026-08-20 01:27:09,MUNICIPIO
1508308,2024,5,Pública,38.21,34.28,3.93,true,8883445542819162247,2026-08-20 01:27:09,MUNICIPIO
1703073,2023,5,Pública,11.92,,,,6635911985473287930,2026-08-20 01:27:09,MUNICIPIO
1703073,2024,5,Pública,18.26,11.92,6.34,true,8077891278884629893,2026-08-20 01:27:09,MUNICIPIO
1709807,2023,5,Pública,27.27,,,,8276140789460016546,2026-08-20 01:27:09,MUNICIPIO
1709807,2024,5,Pública,21.43,27.27,-5.84,false,-7670996451340995218,2026-08-20 01:27:09,MUNICIPIO
1711902,2023,5,Pública,26.02,,,,6199724455814804227,2026-08-20 01:27:09,MUNICIPIO
1711902,2024,5,Pública,35.66,26.02,9.64,true,7153777905359990044,2026-08-20 01:27:09,MUNICIPIO
1713700,2023,5,Pública,29.33,,,,7970196809767747477,2026-08-20 01:27:09,MUNICIPIO
1713700,2024,5,Pública,44.77,29.33,15.44,true,-4253047868029522292,2026-08-20 01:27:09,MUNICIPIO
1715002,2023,5,Pública,32.17,,,,3644634655194570335,2026-08-20 01:27:09,MUNICIPIO
1715002,2024,5,Pública,55.38,32.17,23.21,true,-4049939707498593948,2026-08-20 01:27:09,MUNICIPIO
1715259,2023,3,Municipal,22.32,,,,-17986826377600774,2026-08-20 01:27:09,MUNICIPIO
