pc_indicador_alfabetizacao,vl_proficiencia_media,vl_proficiencia_mediana,qt_alunos_avaliados,nu_serie,qtd_fam_pobreza,qtd_fam_baixa_renda,qtd_fam_ate_meio_sm,qtd_fam_renda_zero,taxa_atualizacao_geral_pct,taxa_atualizacao_ate_meio_sm_pct,qtd_escolas,pct_urbana,pct_rural,ano_2024,ds_rede_municipal,ds_rede_privada,nome_regiao_nordeste,nome_regiao_norte,nome_regiao_sudeste,nome_regiao_sul,uf_freq
0.4898,737.6,734.01,49,2,1032,307,1339,560,0.7553,0.8017,11,0.7273,0.2727,0,1,0,0,0,1,0,0.1754852218732383
0.5718,747.21,751.72,376,2,1343,987,2330,487,0.7099,0.8045,35,0.7714,0.2286,0,1,0,0,0,1,0,0.1754852218732383
0.8706,791.68,795.49,85,2,288,211,499,151,0.5359,0.7748,5,1.0,0.0,0,1,0,0,0,1,0,0.1754852218732383
0.444,736.56,737.62,268,2,3194,1618,4812,2053,0.7108,0.8459,38,0.9737,0.0263,0,1,0,0,0,1,0,0.1754852218732383
0.3791,730.09,728.07,277,2,4477,924,5401,93,0.8051,0.9036,81,0.3457,0.6543,0,1,0,0,0,1,0,0.1754852218732383
0.5294,739.21,743.34,34,2,152,165,317,43,0.6857,0.7866,3,1.0,0.0,0,1,0,0,0,1,0,0.1754852218732383
0.5865,749.94,755.37,104,2,1141,408,1549,243,0.8061,0.8653,16,0.3125,0.6875,0,1,0,0,0,1,0,0.1754852218732383
0.48,736.53,739.24,50,2,1509,316,1825,1359,0.8153,0.9115,29,0.1724,0.8276,0,0,0,0,0,1,0,0.1754852218732383
0.9694,814.46,815.1,98,2,1663,537,2200,90,0.7743,0.8593,14,0.8571,0.1429,0,1,0,0,0,1,0,0.1754852218732383
0.5315,756.08,751.26,111,2,1277,317,1594,902,0.7778,0.8433,7,1.0,0.0,0,1,0,0,0,1,0,0.1754852218732383
0.6433,752.87,757.83,841,2,9373,6115,15488,3644,0.7811,0.8734,205,0.9659,0.0341,0,1,0,0,0,1,0,0.1754852218732383
0.46,740.12,740.08,50,2,1235,273,1508,1111,0.7721,0.85,9,0.6667,0.3333,0,1,0,0,0,1,0,0.1754852218732383
0.6136,756.28,758.04,295,2,9885,3284,13169,1319,0.8269,0.8949,50,0.62,0.38,0,0,0,0,0,1,0,0.1754852218732383
0.5455,746.91,748.65,33,2,657,277,934,401,0.8373,0.8946,18,0.3889,0.6111,0,0,0,0,0,1,0,0.1754852218732383
0.75,768.89,778.71,32,2,441,179,620,291,0.931,0.9582,9,0.3333,0.6667,0,1,0,0,0,1,0,0.1754852218732383
0.5997,752.13,756.97,692,2,4748,2423,7171,2126,0.6771,0.8014,105,0.9429,0.0571,0,1,0,0,0,1,0,0.1754852218732383
1.0,781.47,782.83,19,2,775,238,1013,59,0.7655,0.8505,14,0.2857,0.7143,0,0,0,0,0,1,0,0.1754852218732383
0.7115,767.49,773.74,52,2,187,123,310,76,0.6616,0.7868,6,0.8333,0.1667,0,1,0,0,0,1,0,0.1754852218732383
0.7867,772.33,775.56,150,2,282,409,691,56,0.7002,0.8158,7,0.5714,0.4286,0,1,0,0,0,1,0,0.1754852218732383
0.6667,762.99,763.74,63,2,1158,399,1557,902,0.7826,0.8573,16,0.8125,0.1875,0,0,0,0,0,1,0,0.1754852218732383
0.6442,753.96,754.01,104,2,955,503,1458,559,0.8535,0.9072,10,1.0,0.0,0,1,0,0,0,1,0,0.1754852218732383
0.5663,751.53,749.47,83,2,1696,254,1950,877,0.7678,0.8556,19,0.2632,0.7368,0,1,0,0,0,1,0,0.1754852218732383
0.4043,736.11,736.47,47,2,1497,725,2222,374,0.7087,0.7701,18,0.7222,0.2778,0,0,0,0,0,1,0,0.1754852218732383
0.4444,732.16,732.57,54,2,1165,670,1835,229,0.755,0.8236,33,0.4848,0.5152,0,0,0,0,0,1,0,0.1754852218732383
