id_resultado_municipio,id_municipio,nome_uf,nome_regiao,nu_serie,nu_rede,ds_rede,pc_taxa_alfabetizacao,vl_media_portugues,pc_aluno_nivel_0,pc_aluno_nivel_1,pc_aluno_nivel_2,pc_aluno_nivel_3,pc_aluno_nivel_4,pc_aluno_nivel_5,pc_aluno_nivel_6,pc_aluno_nivel_7,pc_aluno_nivel_8,pc_participacao_meta,pc_meta_2024,pc_meta_2025,pc_meta_2026,pc_meta_2027,pc_meta_2028,pc_meta_2029,pc_meta_2030,ts_insercao,nu_ano,sigla_uf
6017244195368679562,3118502,Minas Gerais,Sudeste,2,5,Pública,38.89,726.16,0.0,0.0,27.78,16.67,33.33,16.67,5.56,0.0,0.0,,,,,,,,,2026-08-20 01:27:09,2024,MG
-239225520992218045,3134004,Minas Gerais,Sudeste,2,2,Estadual,50.73,738.53,0.0,6.24,15.4,8.27,26.05,30.3,13.74,0.0,0.0,,,,,,,,,2026-08-20 01:27:09,2024,MG
3784748094468677410,3165578,Minas Gerais,Sudeste,2,2,Estadual,55.11,737.03,3.09,0.0,19.33,15.01,14.59,29.43,16.08,1.23,1.23,,,,,,,,,2026-08-20 01:27:09,2024,MG
-9201668145912549747,3154150,Minas Gerais,Sudeste,2,5,Pública,85.67,765.78,0.0,0.0,2.15,6.65,9.82,43.3,34.75,2.26,1.09,,,,,,,,,2026-08-20 01:27:09,2024,MG
7598446527326073921,3124807,Minas Gerais,Sudeste,2,3,Municipal,69.36,750.38,2.45,4.73,4.91,11.55,9.27,45.18,19.45,2.45,0.0,95.45,52.24,57.58,62.76,67.65,72.19,76.32,80.0,2026-08-20 01:27:09,2024,MG
5825771304129630918,3115201,Minas Gerais,Sudeste,2,3,Municipal,70.43,752.17,3.66,0.0,3.66,3.66,29.78,40.65,11.29,3.66,3.66,87.1,70.55,72.3,73.98,75.59,77.13,78.6,80.0,2026-08-20 01:27:09,2024,MG
1326333475643894298,3166709,Minas Gerais,Sudeste,2,3,Municipal,65.83,746.88,1.0,9.5,9.75,7.19,12.94,30.56,24.33,3.72,1.0,84.0,56.46,61.01,65.37,69.49,73.32,76.83,80.0,2026-08-20 01:27:09,2024,MG
-5916134621944717901,3123403,Minas Gerais,Sudeste,2,3,Municipal,66.67,761.29,0.0,0.0,0.0,23.81,14.29,23.81,28.57,4.76,4.76,100.0,44.9,51.51,58.07,64.35,70.18,75.42,80.0,2026-08-20 01:27:09,2024,MG
1667618369251029949,3128253,Minas Gerais,Sudeste,2,5,Pública,80.7,760.79,0.0,0.0,5.67,7.94,13.21,44.7,21.05,5.59,1.83,,,,,,,,,2026-08-20 01:27:09,2024,MG
-8199052434036575263,3148608,Minas Gerais,Sudeste,2,2,Estadual,80.78,765.37,0.0,1.26,3.89,7.77,11.34,30.23,37.86,6.35,1.31,,,,,,,,,2026-08-20 01:27:09,2024,MG
-5189032978317682621,3169901,Minas Gerais,Sudeste,2,2,Estadual,75.69,757.56,0.0,8.96,1.49,6.08,14.18,33.16,28.04,6.5,1.6,,,,,,,,,2026-08-20 01:27:09,2024,MG
-7834148531277503217,3163300,Minas Gerais,Sudeste,2,3,Municipal,54.62,750.88,0.0,0.0,8.46,20.0,21.54,28.46,9.23,7.69,4.62,92.31,50.96,56.54,61.96,67.09,71.85,76.16,80.0,2026-08-20 01:27:09,2024,MG
-5844045317759566157,3151206,Minas Gerais,Sudeste,2,3,Municipal,69.81,753.91,2.27,3.68,5.02,7.57,20.47,30.81,19.26,7.74,3.17,88.05,54.52,59.44,64.17,68.65,72.8,76.59,80.0,2026-08-20 01:27:09,2024,MG
7476930936207239586,3138203,Minas Gerais,Sudeste,2,3,Municipal,67.11,753.4,2.48,2.98,8.07,7.95,16.66,27.65,24.1,8.08,2.04,86.08,60.18,64.0,67.64,71.09,74.31,77.28,80.0,2026-08-20 01:27:09,2024,MG
7215792258183253639,3124401,Minas Gerais,Sudeste,2,3,Municipal,66.53,753.27,0.0,3.1,9.46,7.32,19.85,29.06,22.81,8.4,0.0,90.57,68.68,70.8,72.82,74.76,76.6,78.35,80.0,2026-08-20 01:27:09,2024,MG
