id_municipio,nu_rede,nu_serie,id_indicador_municipio,nome_uf,nome_regiao,ds_rede,qt_alunos_avaliados,qt_alunos_alfabetizados,qt_alunos_alfabetizados_corte,pc_indicador_alfabetizacao,pc_indicador_alfabetizacao_corte,vl_proficiencia_media,vl_proficiencia_mediana,ts_insercao,pc_taxa_alfabetizacao,pc_participacao_meta,pc_meta_2024,pc_meta_2025,pc_meta_2026,pc_meta_2027,pc_meta_2028,pc_meta_2029,pc_meta_2030,pc_meta_ano_corrente,vl_gap_meta_resultado,nu_ano,sigla_uf
3101805,3,2,-1877581126399192126,Minas Gerais,Sudeste,Municipal,49,24,24,48.98,48.98,737.6,734.01,2026-08-20 01:27:09,46.13,80.33,51.63,57.08,62.37,67.39,72.03,76.24,80.0,,,2023,MG
3102605,3,2,-6486017206342286012,Minas Gerais,Sudeste,Municipal,376,215,215,57.18,57.18,747.21,751.72,2026-08-20 01:27:09,56.29,94.24,60.22,64.03,67.67,71.11,74.32,77.28,80.0,,,2023,MG
3104106,3,2,-5292945303659194841,Minas Gerais,Sudeste,Municipal,85,74,74,87.06,87.06,791.68,795.49,2026-08-20 01:27:09,86.77,95.51,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,MG
3107406,3,2,-6771022948422899304,Minas Gerais,Sudeste,Municipal,268,119,119,44.4,44.4,736.56,737.62,2026-08-20 01:27:09,42.86,86.45,48.79,54.75,60.58,66.13,71.26,75.9,80.0,,,2023,MG
3109402,3,2,-813429685774518756,Minas Gerais,Sudeste,Municipal,277,105,105,37.91,37.91,730.09,728.07,2026-08-20 01:27:09,37.7,95.19,44.21,50.93,57.62,64.04,69.99,75.33,80.0,,,2023,MG
3109600,3,2,6558476508849228126,Minas Gerais,Sudeste,Municipal,34,18,18,52.94,52.94,739.21,743.34,2026-08-20 01:27:09,52.4,94.44,56.96,61.41,65.68,69.71,73.45,76.89,80.0,,,2023,MG
3112901,3,2,-843117374615215573,Minas Gerais,Sudeste,Municipal,104,61,61,58.65,58.65,749.94,755.37,2026-08-20 01:27:09,59.39,93.69,62.8,66.1,69.24,72.21,75.0,77.6,80.0,,,2023,MG
3117836,2,2,-8770235912550402912,Minas Gerais,Sudeste,Estadual,50,24,24,48.0,48.0,736.53,739.24,2026-08-20 01:27:09,40.37,,,,,,,,,,,2023,MG
3120805,3,2,-8761297485133628640,Minas Gerais,Sudeste,Municipal,98,95,95,96.94,96.94,814.46,815.1,2026-08-20 01:27:09,97.18,92.45,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,2023,MG
3121258,3,2,-776160499131049155,Minas Gerais,Sudeste,Municipal,111,59,59,53.15,53.15,756.08,751.26,2026-08-20 01:27:09,50.98,81.02,55.77,60.45,64.94,69.19,73.13,76.74,80.0,,,2023,MG
